,,,,,,,,,,,,,,
,Exposition 2026 Media Plan,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Title,Post Description,Type,Designer,Design Status,Content Writer,Caption Status,Final Status,Handover status,Handover Date,Finished Before,Date need to be Shared,Date Shared,Platform
,,,,,,,,,,,,,,
,Social media pages,Update Profile Picture,Flyer,Isuru,Approved,,Approved,Posted,,,3th July ,11th July,,"Facebook, LinkedIn, Instagram"
,,Update Cover Photo,Flyer,Isuru,Approved,,No caption,Posted,,,3th July,11th July,,"Facebook, LinkedIn, Instagram"
,,What is Exposition 2026?,Flyer,Isuru,Approved,Kaveesha,Approved,On going,,,4t July,14th July,,"Facebook, LinkedIn, Instagram"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Podcast Series start & Epi.01,What is Podcast Series ,Flyer,kasun,On revision,Himaya,Completed,,Assigned,11th July,13th July,17th July,,"Facebook, LinkedIn, Instagram"
,,Coming Soon Podcast Series - Video,Video,Osanda,assigned,Araliya,Completed,,Assigned,11th July,16th July,20th July,,"Facebook, LinkedIn, Instagram"
,,Coming Soon Podcast Epi 01,Flyer,Kasun,,Nethmi H,On going,,Assigned,11th uly,19th July,23rd July,,"Facebook, LinkedIn, Instagram"
,,Launch Podcast Episode 01,Video,Maleesha,,Manumi,,,Assigned,11th  July,24th July,27th July,,"Facebook, Youtube"
,,Now available epi01,Flyer,Isuru,,Sobashi,,,,11th July,26th July,30th  July,,
,,Release Podcast epi 01 Short Clip 01,Video,Kaveesha,,Aradhana,,,,17th July,27th July,01st August,,"Facebook, Youtube, TikTok, Instagram"
,,Release Podcast epi 01 Short Clip 02,Video,Dulaj,,Poojani,,,,17th July,01st August,05th August,,"Facebook, Youtube, TikTok, Instagram"
,,,,,,,,,,,,,,
,ExpoNext10,ExpoNext10 Coming Soon,Flyer,Osanda,,Binithi,,,,13rd July,01st August,07 th August,,
,,What is ExpoNext10 ,Video,Osanda,,araliya,,,,17th July,05th August,10th August,,
,,Portal open (applications open),Flyer,kasun,,manumi,,,,20th Jully,09th August,13th August,,
,,are u talented ? if it is click here. portal open now,Flyer,,,imasha,,,,21st July,15th August,18th August,,
,,rewards of next10 ,Flyer,kasun,,himaya,,,,24th July,17th August,21st August,,
,,,,,,,,,,,,,,
,Podcast Series start & Epi.02,Coming Soon Podcast Epi 02,Flyer,chamikara,,Nethmi H,,,,01st August,19th August,23rd August,,
,,Launch Podcast Episode 02,Video,Maleesha,,Manumi,,,,02nd August,24th August,27th August,,
,,Now available epi02,Flyer,Isuru,,Sobashi,,,,08th August,26th August,30th August,,
,,Release Podcast epi02 Short Clip 02,Video,kaveesha,,Aradhana,,,,17th August,27th August,01st September,,
,,Release Podcast epi02 Short Clip 02,Video,dulaj,,poojami,,,,17th August,27st August,01st September,,
,,,,,,,,,,,,,,
,ExpoNext10,Next10 Closing Soon (Mock)-Hurry up registration,Flyer,,,,,,,,,26th August,,
,,Registration closing countdown-3 days more,Flyer,,,,,,,,,31th August,,
,,Registration closing countdown-2 days more,,,,,,,,,,01st September,,
,,Registration closing countdown-1 days more,,,,,,,,,,02nd September,,
,,Registration closing date extended,Flyer,,,,,,,,,03rd September,,
,,Hurry Up Flyer - Registration closing,Flyer,,,,,,,,,06th September,,
,,Extended registration closing countdown - 3 days,,,,,,,,,,07th September,,
,,Extended registration closing countdown - 2 days,,,,,,,,,,08th September,,
,,Extended registration closing countdown - 1 days,,,,,,,,,,09th September,,
,,Extended registration closing countdown - 12 hours,,,,,,,,,,10th September,,
,,Extended registration closing countdown - 6 hours,,,,,,,,,,10th September,,
,,Extended Closing ,Flyer,,,,,,,,,10th September,,
,,Shortlist to 50 release(now available)-after cv evaluate,Flyer,,,,,,,,,17th September,,
,,Shortlist to 20-finalist-10 winners(flyer1),Flyer,,,,,,,,,23rd September,,
,,Shortlist to 20-finalist-10 winners(flyer2),,,,,,,,,,23rd September,,
,,Interview Stage open ,Video,,,,,,,,,27thSeptember,,
,,Happening now,Video,,,,,,,,, 29th September,,
,,Final 10 Reveal,Flyer,,,,,,,,,05th October,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Tech Hub Coming Soon,Flyer,Kasun,,,,,,,,,,
,,What is tec Hub,Flyer,Heshan,,Poojani,,,Assigned,8th July,6th August,10th August,,
,Tec Event Hub,Join the Tech Event Hub Community ,Video,Isuru,,Imasha,,,,16th July,8th August,13th August,,
,,Coming Soon Launching,Flyer,Kasun,,Andrina,,,,,,,,
,,Launching Tech Event Hub,Flyer,Kasun,,Binithi,,,,,,,,
